criterion,suite_size,score_1442,score_11,obc,killed_1442,killed_11
mcdc,38.48,61.88,17.75,,61.88,17.75
obc_o0_J,23.38,67.0,20.9,96.75,67.0,20.9
obc_o0_JSM,23.65,67.2,20.78,88.12,67.2,20.78
obc_o0_JSMB,23.08,67.08,21.32,88.12,67.08,21.32
obc_o0_JSML,22.75,67.03,21.0,88.9,67.03,21.0
obc_o1_J,6.1,62.82,18.92,3.72,62.82,18.92
obc_o1_JSM,9.93,65.05,19.92,17.56,65.05,19.92
obc_o1_JSMB,9.9,65.47,20.5,17.56,65.47,20.5
obc_o1_JSML,15.12,65.55,21.3,27.5,65.55,21.3
obc_o2_J,10.05,63.3,20.25,23.27,63.3,20.25
obc_o2_JSM,15.12,65.58,20.32,28.29,65.58,20.32
obc_o2_JSMB,14.92,65.45,20.35,28.29,65.45,20.35
obc_o2_JSML,19.27,66.15,21.5,38.05,66.15,21.5
obc_o3_J,8.55,62.88,19.0,22.88,62.88,19.0
obc_o3_JSM,14.08,65.58,20.3,28.25,65.58,20.3
obc_o3_JSMB,14.4,65.7,20.5,28.25,65.7,20.5
obc_o3_JSML,18.7,65.65,21.48,38.17,65.65,21.48
obc_os_J,10.0,63.38,19.95,24.29,63.38,19.95
obc_os_JSM,12.35,65.75,20.5,31.79,65.75,20.5
obc_os_JSMB,12.9,65.5,20.92,31.79,65.5,20.92
obc_os_JSML,17.9,66.1,21.05,41.85,66.1,21.05
