criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,29.18,65.57,73.44,,66.22,74.18
obc_o0_J,7.9,57.33,64.9,96.24,57.9,65.55
obc_o0_JSMB,7.25,55.84,63.49,87.68,56.4,64.12
obc_o1_J,3.7,45.22,55.54,66.67,45.68,56.1
obc_o1_JSMB,5.12,51.93,60.32,54.26,52.45,60.92
obc_o2_J,3.92,48.29,57.3,60.0,48.78,57.88
obc_o2_JSMB,6.52,55.64,63.79,52.52,56.2,64.42
obc_o3_J,4.3,46.78,56.61,57.69,47.25,57.18
obc_o3_JSMB,6.5,55.12,63.04,52.14,55.68,63.68
obc_os_J,2.35,39.03,50.22,77.27,39.42,50.72
obc_os_JSMB,5.5,52.3,60.82,61.79,52.82,61.42
